,File,Subject,Time,Date,Message,SessionNum,PhaseNum,Trial,TrialStart,TrialTime,RawTrialTime,LRSoffset,Closest Ticks,Angle
22,REX_20251026084543.txt,Rex,53.5479999240488,2025-10-26,Miss,1,2,2,49.9079997511581,3.6400001728907014,3.6400001728907014,0.0,3.8960001850499992,-2.150394971440704
23,REX_20251026084543.txt,Rex,54.0999999502674,2025-10-26,Miss,1,2,2,49.9079997511581,4.192000199109302,4.192000199109302,0.0,3.8960001850499992,2.4997618964052855
24,REX_20251026084543.txt,Rex,54.5919999736361,2025-10-26,Hit,1,2,2,49.9079997511581,4.684000222477998,4.684000222477998,0.0,4.640000220388096,0.37945578125126
25,REX_20251026084543.txt,Rex,55.1680000009947,2025-10-26,Hit,1,2,2,49.9079997511581,5.260000249836601,5.260000249836601,0.0,5.368570399858054,-0.936308389549187
26,REX_20251026084543.txt,Rex,64.2199998414144,2025-10-26,Safe,1,2,3,63.607999812346,0.6120000290684047,0.6120000290684047,0.0,0.7880000374278993,-1.4863449113753362
27,REX_20251026084543.txt,Rex,64.6039998596534,2025-10-26,Miss (already hit),1,2,3,63.607999812346,0.9960000473073976,0.9960000473073976,0.0,0.7880000374278993,1.7565894407171134
28,REX_20251026084543.txt,Rex,65.0599998813123,2025-10-26,Hit,1,2,3,63.607999812346,1.4520000689662922,1.4520000689662922,0.0,1.532000072766003,-0.6756113233519236
29,REX_20251026084543.txt,Rex,65.5279999035411,2025-10-26,Miss,1,2,3,63.607999812346,1.9200000911950994,1.9200000911950994,0.0,2.276000108104192,-3.00647038891892
30,REX_20251026084543.txt,Rex,65.95999992406,2025-10-26,Hit,1,2,3,63.607999812346,2.3520001117139984,2.3520001117139984,0.0,2.276000108104192,0.6554236221611387
31,REX_20251026084543.txt,Rex,66.4999999497086,2025-10-26,Hit,1,2,3,63.607999812346,2.8920001373625936,2.8920001373625936,0.0,3.004570287574058,-0.9708043696632337
32,REX_20251026084543.txt,Rex,79.0359997209162,2025-10-26,Hit,1,2,4,78.299999685958,0.7360000349581952,0.7360000349581952,0.0,0.6560000311583991,0.693728313451666
33,REX_20251026084543.txt,Rex,79.5519997454248,2025-10-26,Hit,1,2,4,78.299999685958,1.2520000594667948,1.2520000594667948,0.0,1.3805702104382611,-1.1149093719654137
34,REX_20251026084543.txt,Rex,91.787999516353,2025-10-26,Hit,1,2,5,91.1519994861446,0.6360000302083932,0.6360000302083932,0.0,0.5040000239387012,1.1383673437536685
35,REX_20251026084543.txt,Rex,92.2439995380118,2025-10-26,Hit,1,2,5,91.1519994861446,1.0920000518672026,1.0920000518672026,0.0,1.2325702034086525,-1.212276230459791
36,REX_20251026084543.txt,Rex,102.23599935323,2025-10-26,Safe,1,2,6,101.683999327011,0.5520000262190052,0.5520000262190052,0.0,0.3440000163400043,1.756589440713148
37,REX_20251026084543.txt,Rex,102.607999370899,2025-10-26,Hit,1,2,6,101.683999327011,0.9240000438880003,0.9240000438880003,0.0,1.0880000516780086,-1.3850032128767051
38,REX_20251026084543.txt,Rex,103.051999391988,2025-10-26,Miss,1,2,6,101.683999327011,1.3680000649770108,1.3680000649770108,0.0,1.0880000516780086,2.364639631732214
39,REX_20251026084543.txt,Rex,103.459999411367,2025-10-26,Hit,1,2,6,101.683999327011,1.7760000843559993,1.7760000843559993,0.0,1.8320000870159987,-0.472927926348123
40,REX_20251026084543.txt,Rex,103.879999431316,2025-10-26,Miss,1,2,6,101.683999327011,2.196000104305,2.196000104305,0.0,1.8320000870159987,3.0575928500176253
41,REX_20251026084543.txt,Rex,104.335999452975,2025-10-26,Hit,1,2,6,101.683999327011,2.6520001259640082,2.6520001259640082,0.0,2.580000122544007,0.6243554821085422
42,REX_20251026084543.txt,Rex,104.851999477483,2025-10-26,Hit,1,2,6,101.683999327011,3.168000150472011,3.168000150472011,0.0,3.3045703018233574,-1.184282203310554
43,REX_20251026084543.txt,Rex,113.771999332588,2025-10-26,Hit,1,2,7,112.99199929554,0.7800000370479978,0.7800000370479978,0.0,0.9320000442680083,-1.2767970142966658
44,REX_20251026084543.txt,Rex,114.167999351397,2025-10-26,Miss (already hit),1,2,7,112.99199929554,1.1760000558570027,1.1760000558570027,0.0,0.9320000442680083,2.0606145362226376
45,REX_20251026084543.txt,Rex,114.539999369066,2025-10-26,Hit,1,2,7,112.99199929554,1.5480000735259978,1.5480000735259978,0.0,1.6760000796059984,-1.0809781173671553
46,REX_20251026084543.txt,Rex,114.959999389015,2025-10-26,Miss,1,2,7,112.99199929554,1.9680000934749984,1.9680000934749984,0.0,1.6760000796059984,2.465981330235319
47,REX_20251026084543.txt,Rex,115.367999408394,2025-10-26,Hit,1,2,7,112.99199929554,2.376000112854001,2.376000112854001,0.0,2.4200001149440027,-0.3715862278449638
48,REX_20251026084543.txt,Rex,115.799999428913,2025-10-26,Miss,1,2,7,112.99199929554,2.8080001333729996,2.8080001333729996,0.0,3.164000150282007,-3.006470388918946
49,REX_20251026084543.txt,Rex,116.303999452852,2025-10-26,Hit,1,2,7,112.99199929554,3.3120001573119993,3.3120001573119993,0.0,3.164000150282007,1.2763512642108732
50,REX_20251026084543.txt,Rex,116.771999475081,2025-10-26,Hit,1,2,7,112.99199929554,3.7800001795410054,3.7800001795410054,0.0,3.892570329752356,-0.9708043696616094
51,REX_20251026084543.txt,Rex,125.459999331739,2025-10-26,Hit,1,2,8,124.731999297161,0.7280000345780024,0.7280000345780024,0.0,0.7960000378079997,-0.5742696248512751
52,REX_20251026084543.txt,Rex,125.795999347698,2025-10-26,Miss,1,2,8,124.731999297161,1.064000050537004,1.064000050537004,0.0,0.7960000378079997,2.251194735725076
53,REX_20251026084543.txt,Rex,126.107999362517,2025-10-26,Hit,1,2,8,124.731999297161,1.3760000653560098,1.3760000653560098,0.0,1.544000073336008,-1.4111967000119912
54,REX_20251026084543.txt,Rex,126.563999384176,2025-10-26,Miss,1,2,8,124.731999297161,1.832000087015004,1.832000087015004,0.0,1.544000073336008,2.4322007640676087
